config,image_weight,text_weight,query,rank,creator,score,relevant
50_50,0.5,0.5,cooking,1,da.rafiki,0.7188,0
50_50,0.5,0.5,cooking,2,cotrim13d,0.7134,0
50_50,0.5,0.5,cooking,3,pjfperformance,0.7123,0
50_50,0.5,0.5,cooking,4,carrieberkk,0.7097,0
50_50,0.5,0.5,cooking,5,puncha.patisserie,0.709,0
50_50,0.5,0.5,cooking,6,alansleftnu,0.7066,0
50_50,0.5,0.5,cooking,7,goateebeardcare,0.7033,0
50_50,0.5,0.5,cooking,8,100mak_officiel,0.7026,0
50_50,0.5,0.5,cooking,9,em1loba,0.7022,0
50_50,0.5,0.5,cooking,10,jaktodaleko,0.6999,0
50_50,0.5,0.5,fashion,1,crazydaisymiami21,0.7194,0
50_50,0.5,0.5,fashion,2,karllagerfeld,0.7126,1
50_50,0.5,0.5,fashion,3,pjfperformance,0.7101,0
50_50,0.5,0.5,fashion,4,cotrim13d,0.7053,0
50_50,0.5,0.5,fashion,5,ridukushmidahit,0.7046,0
50_50,0.5,0.5,fashion,6,sunflow3rsamurai,0.7039,0
50_50,0.5,0.5,fashion,7,aianajuarezofficial,0.703,0
50_50,0.5,0.5,fashion,8,filhadorei539,0.7027,0
50_50,0.5,0.5,fashion,9,puppy16hp,0.7024,0
50_50,0.5,0.5,fashion,10,goateebeardcare,0.7016,0
50_50,0.5,0.5,tech,1,pjfperformance,0.7511,0
50_50,0.5,0.5,tech,2,drareejzulfiqar,0.7385,0
50_50,0.5,0.5,tech,3,gabytza001,0.738,0
50_50,0.5,0.5,tech,4,goateebeardcare,0.7324,0
50_50,0.5,0.5,tech,5,da.rafiki,0.7316,0
50_50,0.5,0.5,tech,6,cotrim13d,0.7286,0
50_50,0.5,0.5,tech,7,tashaeliett,0.7251,0
50_50,0.5,0.5,tech,8,rodricr527,0.7244,0
50_50,0.5,0.5,tech,9,mamiserce,0.7226,0
50_50,0.5,0.5,tech,10,100mak_officiel,0.7224,0
85_15,0.85,0.15,makeup,1,alliecatcosplay,0.4208,0
85_15,0.85,0.15,makeup,2,puncha.patisserie,0.411,0
85_15,0.85,0.15,makeup,3,renzuwuu,0.4101,0
85_15,0.85,0.15,makeup,4,simoncisnerospro,0.4072,0
85_15,0.85,0.15,makeup,5,craftylumberjacks,0.4062,0
85_15,0.85,0.15,makeup,6,stephanyandrea,0.4058,0
85_15,0.85,0.15,makeup,7,bibaelegante,0.4057,0
85_15,0.85,0.15,makeup,8,..khatho,0.4056,0
85_15,0.85,0.15,makeup,9,amanda_hadzimichalis,0.4044,0
85_15,0.85,0.15,makeup,10,sasha.yakubova,0.4032,0
85_15,0.85,0.15,fitness,1,pjfperformance,0.4626,0
85_15,0.85,0.15,fitness,2,user07824477,0.4304,0
85_15,0.85,0.15,fitness,3,boburmma92,0.4258,0
85_15,0.85,0.15,fitness,4,alyseee_xofit,0.4227,1
85_15,0.85,0.15,fitness,5,alansleftnu,0.4223,0
85_15,0.85,0.15,fitness,6,watan9464,0.4191,1
85_15,0.85,0.15,fitness,7,beduyzuize,0.4175,0
85_15,0.85,0.15,fitness,8,da.rafiki,0.4167,0
85_15,0.85,0.15,fitness,9,diaryoflalalindseay,0.4152,1
85_15,0.85,0.15,fitness,10,tashaeliett,0.4144,1
85_15,0.85,0.15,cooking,1,kashii996insta,0.4411,1
85_15,0.85,0.15,cooking,2,lasvegasfill,0.4398,1
85_15,0.85,0.15,cooking,3,marielmedina90,0.4348,1
85_15,0.85,0.15,cooking,4,puncha.patisserie,0.4332,0
85_15,0.85,0.15,cooking,5,ayoubcheri15,0.4295,1
85_15,0.85,0.15,cooking,6,loveemanda,0.427,0
85_15,0.85,0.15,cooking,7,zyad_tasty,0.425,1
85_15,0.85,0.15,cooking,8,da.rafiki,0.4234,0
85_15,0.85,0.15,cooking,9,gymnadz,0.4205,0
85_15,0.85,0.15,cooking,10,cohenvoi.saigon,0.4203,1
85_15,0.85,0.15,fashion,1,crazydaisymiami21,0.4423,0
85_15,0.85,0.15,fashion,2,hachireview74,0.4192,0
85_15,0.85,0.15,fashion,3,stephanyandrea,0.418,1
85_15,0.85,0.15,fashion,4,gabytza001,0.4113,0
85_15,0.85,0.15,fashion,5,dejjanicole,0.4104,0
85_15,0.85,0.15,fashion,6,pjfperformance,0.4094,0
85_15,0.85,0.15,fashion,7,jadzia.kim,0.4091,0
85_15,0.85,0.15,fashion,8,deborahteran26,0.4078,0
85_15,0.85,0.15,fashion,9,craftylumberjacks,0.4075,0
85_15,0.85,0.15,fashion,10,user07824477,0.4067,0
85_15,0.85,0.15,tech,1,pjfperformance,0.4468,0
85_15,0.85,0.15,tech,2,gabytza001,0.4457,0
85_15,0.85,0.15,tech,3,user07824477,0.441,0
85_15,0.85,0.15,tech,4,meikeire_,0.4365,0
85_15,0.85,0.15,tech,5,craftylumberjacks,0.4359,0
85_15,0.85,0.15,tech,6,adam.digital,0.4358,1
85_15,0.85,0.15,tech,7,straw_hat00,0.4316,0
85_15,0.85,0.15,tech,8,smarttech_ai,0.4315,1
85_15,0.85,0.15,tech,9,techcraze1,0.4299,1
85_15,0.85,0.15,tech,10,djhugogt,0.4278,0
15_85,0.15,0.85,makeup,1,1amnotjamaila,0.8094,0
15_85,0.15,0.85,makeup,2,ridukushmidahit,0.8088,0
15_85,0.15,0.85,makeup,3,filhadorei539,0.8076,0
15_85,0.15,0.85,makeup,4,da.rafiki,0.8035,0
15_85,0.15,0.85,makeup,5,drareejzulfiqar,0.8015,0
15_85,0.15,0.85,makeup,6,carrieberkk,0.7948,0
15_85,0.15,0.85,makeup,7,wiambaashar1,0.7913,0
15_85,0.15,0.85,makeup,8,barsha.panday4,0.7889,0
15_85,0.15,0.85,makeup,9,laurenlovelessss,0.7884,0
15_85,0.15,0.85,makeup,10,karen_in_qatar,0.7874,0
15_85,0.15,0.85,fitness,1,1amnotjamaila,0.831,0
15_85,0.15,0.85,fitness,2,ridukushmidahit,0.8282,0
15_85,0.15,0.85,fitness,3,filhadorei539,0.817,0
15_85,0.15,0.85,fitness,4,cotrim13d,0.8153,0
15_85,0.15,0.85,fitness,5,pjfperformance,0.8137,0
15_85,0.15,0.85,fitness,6,drareejzulfiqar,0.8132,0
15_85,0.15,0.85,fitness,7,carrieberkk,0.8125,0
15_85,0.15,0.85,fitness,8,puppy16hp,0.812,0
15_85,0.15,0.85,fitness,9,silvanarm_,0.8109,0
15_85,0.15,0.85,fitness,10,lea_navvab,0.8109,0
15_85,0.15,0.85,cooking,1,1amnotjamaila,0.8254,0
15_85,0.15,0.85,cooking,2,ridukushmidahit,0.8246,0
15_85,0.15,0.85,cooking,3,carrieberkk,0.8223,0
15_85,0.15,0.85,cooking,4,da.rafiki,0.8216,0
15_85,0.15,0.85,cooking,5,filhadorei539,0.8207,0
15_85,0.15,0.85,cooking,6,cotrim13d,0.8159,0
15_85,0.15,0.85,cooking,7,drareejzulfiqar,0.8155,0
15_85,0.15,0.85,cooking,8,laurenlovelessss,0.8139,0
15_85,0.15,0.85,cooking,9,puppy16hp,0.8132,0
15_85,0.15,0.85,cooking,10,wyamarce,0.8117,0
15_85,0.15,0.85,fashion,1,1amnotjamaila,0.8341,0
15_85,0.15,0.85,fashion,2,ridukushmidahit,0.8312,0
15_85,0.15,0.85,fashion,3,drareejzulfiqar,0.8276,0
15_85,0.15,0.85,fashion,4,filhadorei539,0.8269,0
15_85,0.15,0.85,fashion,5,puppy16hp,0.8219,0
15_85,0.15,0.85,fashion,6,cotrim13d,0.8203,0
15_85,0.15,0.85,fashion,7,lea_navvab,0.8201,0
15_85,0.15,0.85,fashion,8,carrieberkk,0.8195,0
15_85,0.15,0.85,fashion,9,malek.hac,0.8189,0
15_85,0.15,0.85,fashion,10,karllagerfeld,0.8188,1
15_85,0.15,0.85,tech,1,1amnotjamaila,0.8699,0
15_85,0.15,0.85,tech,2,drareejzulfiqar,0.8689,0
15_85,0.15,0.85,tech,3,ridukushmidahit,0.8617,0
15_85,0.15,0.85,tech,4,filhadorei539,0.8576,0
15_85,0.15,0.85,tech,5,carrieberkk,0.857,0
15_85,0.15,0.85,tech,6,laurenlovelessss,0.85,0
15_85,0.15,0.85,tech,7,lea_navvab,0.8481,0
15_85,0.15,0.85,tech,8,wiambaashar1,0.8442,0
15_85,0.15,0.85,tech,9,da.rafiki,0.8439,0
15_85,0.15,0.85,tech,10,bnkteamhihi,0.8431,0
