config,image_weight,text_weight,query,rank,creator,score,relevant
50_50,0.5,0.5,fashion,2,aianajuarezofficial,0.756,0
50_50,0.5,0.5,fashion,3,bishopmbengue,0.7548,0
50_50,0.5,0.5,fashion,4,andrew_campen,0.7417,0
50_50,0.5,0.5,fashion,5,rojruay2465,0.7394,0
50_50,0.5,0.5,fashion,6,alabialasela4,0.7383,0
50_50,0.5,0.5,fashion,7,popsiclemaker_,0.7376,0
50_50,0.5,0.5,fashion,8,mattisoncurtlynn,0.7357,0
50_50,0.5,0.5,fashion,9,alicia.s5000,0.7318,0
50_50,0.5,0.5,fashion,10,sydnie_green,0.7238,0
50_50,0.5,0.5,tech,1,bishopmbengue,0.7809,0
50_50,0.5,0.5,tech,2,crazydaisymiami21,0.7755,0
50_50,0.5,0.5,tech,3,alabialasela4,0.7718,0
50_50,0.5,0.5,tech,4,aianajuarezofficial,0.7643,0
50_50,0.5,0.5,tech,5,rojruay2465,0.7631,0
50_50,0.5,0.5,tech,6,popsiclemaker_,0.7622,0
50_50,0.5,0.5,tech,7,swlking,0.7499,0
50_50,0.5,0.5,tech,8,andrew_campen,0.7468,0
50_50,0.5,0.5,tech,9,techcraze1,0.7464,1
50_50,0.5,0.5,tech,10,alicia.s5000,0.7449,0
85_15,0.85,0.15,makeup,1,dimashreim,0.4161,0
85_15,0.85,0.15,makeup,2,alicia.s5000,0.4159,0
85_15,0.85,0.15,makeup,3,alliecatcosplay,0.4155,1
85_15,0.85,0.15,makeup,4,puncha.patisserie,0.4111,0
85_15,0.85,0.15,makeup,5,bibaelegante,0.4096,0
85_15,0.85,0.15,makeup,6,..khatho,0.4081,0
85_15,0.85,0.15,makeup,7,simoncisnerospro,0.4077,0
85_15,0.85,0.15,makeup,8,cboston16,0.4072,0
85_15,0.85,0.15,makeup,9,amanda_hadzimichalis,0.4071,1
85_15,0.85,0.15,makeup,10,netra_23,0.407,0
85_15,0.85,0.15,fitness,1,pjfperformance,0.452,1
85_15,0.85,0.15,fitness,2,user07824477,0.4402,0
85_15,0.85,0.15,fitness,3,mattisoncurtlynn,0.4318,0
85_15,0.85,0.15,fitness,4,crazydaisymiami21,0.4254,0
85_15,0.85,0.15,fitness,5,watan9464,0.4246,0
85_15,0.85,0.15,fitness,6,boburmma92,0.4225,1
85_15,0.85,0.15,fitness,7,aianajuarezofficial,0.4215,0
85_15,0.85,0.15,fitness,8,mirko_mormile,0.4214,0
85_15,0.85,0.15,fitness,9,bishopmbengue,0.4213,0
85_15,0.85,0.15,fitness,10,alyseee_xofit,0.4196,1
85_15,0.85,0.15,cooking,1,mattisoncurtlynn,0.4401,0
85_15,0.85,0.15,cooking,2,ayoubcheri15,0.4391,0
85_15,0.85,0.15,cooking,3,zyad_tasty,0.4358,1
85_15,0.85,0.15,cooking,4,kashii996insta,0.4346,1
85_15,0.85,0.15,cooking,5,marielmedina90,0.4334,1
85_15,0.85,0.15,cooking,6,puncha.patisserie,0.4281,1
85_15,0.85,0.15,cooking,7,gymnadz,0.4274,1
85_15,0.85,0.15,cooking,8,gateauty,0.4264,1
85_15,0.85,0.15,cooking,9,em1loba,0.4247,0
85_15,0.85,0.15,cooking,10,djhugogt,0.4215,0
85_15,0.85,0.15,fashion,1,crazydaisymiami21,0.4588,0
85_15,0.85,0.15,fashion,2,hachireview74,0.4272,1
85_15,0.85,0.15,fashion,3,mattisoncurtlynn,0.4205,0
85_15,0.85,0.15,fashion,4,bishopmbengue,0.4197,0
85_15,0.85,0.15,fashion,5,user07824477,0.4171,0
85_15,0.85,0.15,fashion,6,rojruay2465,0.4161,0
85_15,0.85,0.15,fashion,7,stephanyandrea,0.416,0
85_15,0.85,0.15,fashion,8,dejjanicole,0.4154,0
85_15,0.85,0.15,fashion,9,craftylumberjacks,0.4153,0
85_15,0.85,0.15,fashion,10,aianajuarezofficial,0.4152,0
85_15,0.85,0.15,tech,1,user07824477,0.4503,1
85_15,0.85,0.15,tech,2,gabytza001,0.443,0
85_15,0.85,0.15,tech,3,techcraze1,0.4422,1
85_15,0.85,0.15,tech,4,crazydaisymiami21,0.4378,0
85_15,0.85,0.15,tech,5,pjfperformance,0.4349,0
85_15,0.85,0.15,tech,6,rojruay2465,0.4344,0
85_15,0.85,0.15,tech,7,bishopmbengue,0.433,0
85_15,0.85,0.15,tech,8,swlking,0.4329,0
85_15,0.85,0.15,tech,9,craftylumberjacks,0.4317,0
85_15,0.85,0.15,tech,10,mattisoncurtlynn,0.4314,0
15_85,0.15,0.85,makeup,1,aianajuarezofficial,0.8404,0
15_85,0.15,0.85,makeup,2,bishopmbengue,0.8363,0
15_85,0.15,0.85,makeup,3,popsiclemaker_,0.8295,0
15_85,0.15,0.85,makeup,4,colleeneferrer,0.8277,0
15_85,0.15,0.85,makeup,5,alabialasela4,0.8276,0
15_85,0.15,0.85,makeup,6,jadou_2528,0.8235,0
15_85,0.15,0.85,makeup,7,crazydaisymiami21,0.8232,0
15_85,0.15,0.85,makeup,8,hanji_gaming,0.8226,0
15_85,0.15,0.85,makeup,9,dr.jessy09,0.8187,0
15_85,0.15,0.85,makeup,10,kennyroog,0.8178,0
15_85,0.15,0.85,fitness,1,aianajuarezofficial,0.888,0
15_85,0.15,0.85,fitness,2,bishopmbengue,0.8698,0
15_85,0.15,0.85,fitness,3,popsiclemaker_,0.8657,0
15_85,0.15,0.85,fitness,4,alabialasela4,0.8636,0
15_85,0.15,0.85,fitness,5,rojruay2465,0.8525,0
15_85,0.15,0.85,fitness,6,andrew_campen,0.8522,0
15_85,0.15,0.85,fitness,7,crazydaisymiami21,0.8481,0
15_85,0.15,0.85,fitness,8,dr.jessy09,0.8471,0
15_85,0.15,0.85,fitness,9,hanji_gaming,0.8464,0
15_85,0.15,0.85,fitness,10,jadou_2528,0.8423,0
15_85,0.15,0.85,cooking,1,aianajuarezofficial,0.8701,0
15_85,0.15,0.85,cooking,2,bishopmbengue,0.8621,0
15_85,0.15,0.85,cooking,3,popsiclemaker_,0.8584,1
15_85,0.15,0.85,cooking,4,alabialasela4,0.8566,0
15_85,0.15,0.85,cooking,5,soytonyet,0.8566,0
15_85,0.15,0.85,cooking,6,andrew_campen,0.8526,0
15_85,0.15,0.85,cooking,7,crazydaisymiami21,0.8492,0
15_85,0.15,0.85,cooking,8,hanji_gaming,0.8482,0
15_85,0.15,0.85,cooking,9,rojruay2465,0.8427,0
15_85,0.15,0.85,cooking,10,alicia.s5000,0.8359,0
15_85,0.15,0.85,fashion,1,aianajuarezofficial,0.8825,0
15_85,0.15,0.85,fashion,2,bishopmbengue,0.8763,0
15_85,0.15,0.85,fashion,3,andrew_campen,0.8747,0
15_85,0.15,0.85,fashion,4,alabialasela4,0.8711,0
15_85,0.15,0.85,fashion,5,popsiclemaker_,0.8679,0
15_85,0.15,0.85,fashion,6,crazydaisymiami21,0.8675,0
15_85,0.15,0.85,fashion,7,hanji_gaming,0.8619,0
15_85,0.15,0.85,fashion,8,dr.jessy09,0.856,1
15_85,0.15,0.85,fashion,9,colleeneferrer,0.8527,0
15_85,0.15,0.85,fashion,10,rojruay2465,0.8517,0
15_85,0.15,0.85,tech,1,bishopmbengue,0.9077,0
15_85,0.15,0.85,tech,2,aianajuarezofficial,0.8987,0
15_85,0.15,0.85,tech,3,alabialasela4,0.8985,0
15_85,0.15,0.85,tech,4,hanji_gaming,0.887,0
15_85,0.15,0.85,tech,5,popsiclemaker_,0.8861,0
15_85,0.15,0.85,tech,6,crazydaisymiami21,0.8854,0
15_85,0.15,0.85,tech,7,rojruay2465,0.875,0
15_85,0.15,0.85,tech,8,jadou_2528,0.8732,0
15_85,0.15,0.85,tech,9,andrew_campen,0.8722,0
15_85,0.15,0.85,tech,10,chandrika_keralam,0.8654,0
